,,,15-Aug,,15-Sep,,15-Oct,,15-Nov,,15-Dec,,16-Jan,,16-Feb,,16-Mar,,16-Apr,,16-May,,16-Jun,,16-Jul,,16-Aug,,16-Sep
,,"Meijer - Tipp City, OH",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Total Meijer,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Mekelburgs,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,244.8,,0,,129.6
,Melissa's,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"3,758.40",,0,,0,,0,,0
,Metro Home Style,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Michael Lewis Company,,"1,490.00",,0,,0,,745,,0,,"1,490.00",,"1,490.00",,0,,0,,0,,0,,745,,0,,"1,490.00"
,Military Resale Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Military Resale Solutions - Midland, GA","7,372.80",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,Military Resale Solutions - Norfolk VA,"7,372.80",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,"Military Resale Solutions - Ontario, CA","3,686.40",,0,,0,,0,,"2,304.00",,0,,0,,0,,0,,0,,0,,0,,0,,0
,,"Military Resale Solutions - Stockton, CA",576,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Total Military Resale Solutions,,"19,008.00",,0,,0,,0,,"2,304.00",,0,,0,,0,,0,,0,,0,,0,,0,,0
,Miraval,,0,,0,,0,,144,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,MOCA Gourmet,,0,,0,,0,,0,,102.72,,0,,0,,0,,0,,0,,0,,0,,102.72,,0
,Monsieur Marcel Gourmet Market,,0,,518.4,,691.2,,345.6,,518.4,,259.2,,345.6,,345.6,,0,,0,,0,,0,,0,,0
,Mount Hope Wholesale,,"1,440.00",,"1,440.00",,"1,440.00",,"1,440.00",,"1,440.00",,0,,"2,880.00",,"1,440.00",,"1,440.00",,"2,700.00",,0,,"4,140.00",,0,,"1,440.00"
,Napa Farms Market - SFO Airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Napa Farms Market- Terminal 2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,Napa Farms Market- Terminal G,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,Napa Farms Market - SFO Airport - Other,345.6,,432,,691.2,,345.6,,777.6,,0,,259.2,,734.4,,"1,123.20",,777.6,,835.2,,460.8,,"1,008.00",,"1,008.00"
,Total Napa Farms Market - SFO Airport,,345.6,,432,,691.2,,345.6,,777.6,,0,,259.2,,734.4,,"1,123.20",,777.6,,835.2,,460.8,,"1,008.00",,"1,008.00"
,Nassau Candy Distributors,,"6,026.40",,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Natural Wellness Center,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,86.4,,0,,0,,0
,Nature's Best,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nature's Best - Chico,0,,"13,894.20",,"18,057.60",,"19,224.00",,"11,982.60",,0,,"40,176.00",,"42,201.00",,0,,"30,310.20",,0,,0,,0,,0
,,Nature's Best - Other,0,,0,,0,,0,,0,,0,,0,,"13,059.82",,0,,0,,0,,0,,0,,0
,Total Nature's Best,,0,,"13,894.20",,"18,057.60",,"19,224.00",,"11,982.60",,0,,"40,176.00",,"55,260.82",,0,,"30,310.20",,0,,0,,0,,0
,Nautilus Hotel,,0,,518.4,,0,,345.6,,0,,0,,345.6,,0,,0,,0,,86.4,,86.4,,0,,172.8
,NetJets - NJ,,0,,0,,0,,0,,0,,"5,346.00",,0,,0,,0,,0,,0,,0,,0,,0
,"NetJets, Inc",,0,,0,,"4,320.00",,"5,280.00",,"4,320.00",,"5,346.00",,0,,"5,346.00",,"10,692.00",,0,,"5,346.00",,0,,"5,346.00",,"5,346.00"
,New Grounds Food,,0,,0,,0,,0,,0,,0,,0,,0,,0,,86.4,,0,,0,,0,,0
,Nudie Fooder,,110,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Nutrition Plus Vending,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,Oakville Grocery,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,230.4,,230.4,,144
,"Oh My Green, Inc.",,0,,0,,"5,184.00",,0,,0,,0,,0,,"5,184.00",,0,,0,,0,,0,,0,,0
,OTG Managment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,OTG Management - AZ,0,,0,,0,,0,,0,,0,,355.2,,0,,0,,0,,0,,0,,0,,0
,,OTG Management - Chicago Terminal 2,355.2,,355.2,,355.2,,0,,0,,182.4,,355.2,,0,,0,,355.2,,364.8,,0,,537.6,,0
,,OTG Management - Houston Intercontinental,0,,0,,0,,0,,0,,0,,0,,710.4,,0,,"1,228.80",,0,,355.2,,345.6,,0
,,OTG Management - MN,0,,355.2,,0,,355.2,,0,,355.2,,0,,355.2,,355.2,,777.6,,0,,"1,459.20",,0,,0
,,OTG Management - Newark Intl Airport,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
,,"OTG Management - Orlando Airport, Airside",0,,0,,268.8,,0,,0,,0,,0,,537.6,,0,,0,,172.8,,268.8,,0,,0
,,OTG Management - Philadelphia Int'l Airpo,96,,0,,0,,0,,0,,0,,0,,0,,480,,0,,259.2,,537.6,,0,,0
,,OTG Management - Reagan Airport Terminal,0,,355.2,,0,,0,,0,,0,,0,,0,,355.2,,0,,0,,355.2,,86.4,,0
,,OTG Management - Tucson International Air,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,537.6,,0,,0
